pool,poolSym,liquidity,tick0,tickSpacing,token0,token1,fee
0X5b47f84e3e555cfea785a2d5eb0bcb7a9f110367,NA,NA,NA,0003c,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xdf287f2eb447ed2af6f762f6403682abbec16856,3000
0X390a4d096ba2cc450e73b3113f562be949127ceb,NA,NA,NA,0003c,0xa6422e3e219ee6d4c1b18895275fe43556fd50ed,0xdac17f958d2ee523a2206206994597c13d831ec7,3000
0Xb98bc31bd61770b24f36e21160020489d773f9b8,NA,NA,NA,0003c,0xb97fca5a2967ed91f36c1cbb60dbfe4c53c1df44,0xdac17f958d2ee523a2206206994597c13d831ec7,3000
0X8efb39855aedbcab24081467b92a41ef85d6614f,NA,NA,NA,000c8,0x07adc37c53cc791c502fff9314660999eedd3c20,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10000
0Xdb7626894772ee111b89dc301b1bad342fd215d5,NA,NA,NA,0003c,0x488db574c77dd27a07f9c97bac673bc8e9fc6bf3,0x5ee84583f67d5ecea5420dbb42b462896e7f8d06,3000
0Xae024bda4cd071b2330eae3c4329477093bf621f,NA,NA,NA,0003c,0x34f0915a5f15a66eba86f6a58be1a471fb7836a7,0x488db574c77dd27a07f9c97bac673bc8e9fc6bf3,3000
0Xe8156d7d1af43873c776ddf5df55fdf3297da9e8,NA,NA,NA,0003c,0x347a96a5bd06d2e15199b032f46fb724d6c73047,0x488db574c77dd27a07f9c97bac673bc8e9fc6bf3,3000
0X7668b2ea8490955f68f5c33e77fe150066c94fb9,NA,NA,NA,0003c,0x2b591e99afe9f32eaa6214f7b7629768c40eeb39,0x488db574c77dd27a07f9c97bac673bc8e9fc6bf3,3000
0Xae6afad2361697cd22c06964d69c3152c72815d0,NA,NA,NA,0003c,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xf915110898d9a455ad2da51bf49520b41655ccea,3000
0X10431a7ecf672abdc95fd9205e926f5d1d11c573,NA,NA,NA,000c8,0x3415cf1a6459b62a34656e53e4048233775ac0ac,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10000
0X633f72c19d30064de2e6e74501ae3b16e4ca1964,NA,NA,NA,00001,0x9d0b0008dec5ad1300a8ae14b27946f8bdfa5ccb,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,100
0Xe51e1b71bbdd0b3bb94d39b1c9a420420211520f,NA,NA,NA,0003c,0x9acbd8315d81253f1ba7c0d24cdbd4e01be44a9b,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,3000
0X1bf09b112b68562cd5f3b72b91a551d01b967ac2,NA,NA,NA,0003c,0x6121ef6926dba4f38d491f3544c2d0246cc386f4,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,3000
0X695d4cccb9ccf5e734ef9c41cea65522948471b3,NA,NA,NA,000c8,0x6493354eb3f3e3e39ade2b93bf694f5fa5613ec6,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10000
0X4633afa7c69379ba09912a42b7e59388af596081,NA,NA,NA,0003c,0xb5d730d442e1d5b119fb4e5c843c48a64202ef92,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,3000
0X1063a4259930513e5cdfc69843b1f9a87ea3e3aa,NA,NA,NA,000c8,0xb513373666a36f408542e45fb74492b2022e6d29,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10000
0Xbfa6c8a6bcabb10574068037142ae7e8a7fa6228,NA,NA,NA,000c8,0x6f448d8687dd8004fd73da5a938fff57339ba8be,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10000
0X49c5adffa7c31cf1e78383ac803b72b4ef87d9e7,NA,NA,NA,0000a,0x30dd9f31a114953254880a8d8e05e215079fae65,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,500
0Xc5c3bf0cf615c0eff6a074ac6806fdebe30967c6,NA,NA,NA,000c8,0x1eb2e705653fc9c076bf0428851c54c38e40462f,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10000
0X5325d7a1bf3e8da014180a945c0113d8b254ec50,NA,NA,NA,0003c,0xb328bb1a4c441c8da2e8d136902b12b6fd873425,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,3000
0X98ccf53221430a6f47acc47e57fccd37bb792be0,NA,NA,NA,0003c,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xe1100136fdbb98da916aeede2e3bf7a9e84e100e,3000
0X1fffc8b2519f86e0dae7216867fd8f1ace172f61,NA,NA,NA,0003c,0x96f394f2e847702d8ef2904869d26c26f16f76d6,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,3000
0X57cc86f9e9630c1fec7f688e699fa9de64bdb42c,NA,NA,NA,0003c,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xd9591e4eecf30c63253849483f916e0a1d672dc5,3000
0X9dc852b7d7138519ae3172954b7ac4fc2816c8fd,NA,NA,NA,0003c,0x0f75122f941d7041e4e2282d6196bafda430b3b0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,3000
0Xaa4c9d6e5e349f319abb625aa8dca5f52abea757,NA,NA,NA,0000a,0x6c3ea9036406852006290770bedfcaba0e23a0e8,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,500
0X13394005c1012e708fce1eb974f1130fdc73a5ce,NA,NA,NA,00001,0x6c3ea9036406852006290770bedfcaba0e23a0e8,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,100
0X4532ac4f53871697cbfae2d86517823c1e68b016,NA,NA,NA,0003c,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xd73f0826f4115e4572dba46b3311ee13029f5d22,3000
0Xade19e0bebc9e4692a303ab2e9f6a9722594a6af,NA,NA,NA,0003c,0x2c72eecd4a713c222be143bb071fcd1a338e3e67,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,3000
0X9e70e1662bf3658a2959d8e278e599eada1f1cbc,NA,NA,NA,0003c,0xaf3c36a960c43e9ea201d206adc2190fd24a6fcf,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,3000
0Xef627919b0f8fb5e68677e91e7ca797c6e0d8d98,NA,NA,NA,0003c,0x31404960edca60b17fc2619a3782210ed4a5bac9,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,3000
0X46afa7ce6870a73ef3acb401bdfca92a8228d977,NA,NA,NA,0003c,0xbc9683ee9525c4525e7e0dcffe8eed1447fd4287,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,3000
0X9d3007eb5ca76b6533f646cfa9158deb2c8ed9e6,NA,NA,NA,0003c,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xc068d84e2e6806304a80d6d4a9ea19b8e69493c0,3000
0X9966b296d843d72a169ed819c40cc19a2bc33565,NA,NA,NA,0003c,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xe62adcbae40bae7f613cb6d9630e8a60c6ca15c4,3000
0X37ae74504abab5f7ecaf61a5558451840dcd009a,NA,NA,NA,0003c,0xa79198bedfe90285b819d0020c09430db74e1df5,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,3000
