pool,poolSym,liquidity,tick0,tickSpacing,token0,token1,fee,L_percent_change
0X5b47f84e3e555cfea785a2d5eb0bcb7a9f110367,USDC_VOL,46259139346298173734,299224,60,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xDf287f2eB447ED2AF6F762F6403682abbEc16856,3000,NA
0X390a4d096ba2cc450e73b3113f562be949127ceb,STBU_USDT,102987732890515945,-309756,60,0xa6422E3E219ee6d4C1B18895275FE43556fd50eD,0xdAC17F958D2ee523a2206206994597C13D831ec7,3000,NA
0Xb98bc31bd61770b24f36e21160020489d773f9b8,RUBE_USDT,0,-320912,60,0xb97fca5a2967ed91F36C1cBb60DbFe4c53C1DF44,0xdAC17F958D2ee523a2206206994597C13D831ec7,3000,NA
0X8efb39855aedbcab24081467b92a41ef85d6614f,DIY_WETH,305801991091742724325,-134652,200,0x07aDC37C53CC791C502FfF9314660999EeDd3c20,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,10000,NA
0Xdb7626894772ee111b89dc301b1bad342fd215d5,CARN_PLSB,14492255817759382,4791,60,0x488Db574C77dd27A07f9C97BAc673BC8E9fC6Bf3,0x5EE84583f67D5EcEa5420dBb42b462896E7f8D06,3000,NA
0Xae024bda4cd071b2330eae3c4329477093bf621f,PLSD_CARN,9320383353351315,10523,60,0x34F0915a5f15a66Eba86F6a58bE1A471FB7836A7,0x488Db574C77dd27A07f9C97BAc673BC8E9fC6Bf3,3000,NA
0Xe8156d7d1af43873c776ddf5df55fdf3297da9e8,ASIC_CARN,7969146257238015,-4471,60,0x347a96a5BD06D2E15199b032F46fB724d6c73047,0x488Db574C77dd27A07f9C97BAc673BC8E9fC6Bf3,3000,NA
0X7668b2ea8490955f68f5c33e77fe150066c94fb9,HEX_CARN,506987257577795,70784,60,0x2b591e99afE9f32eAA6214f7B7629768c40Eeb39,0x488Db574C77dd27A07f9C97BAc673BC8E9fC6Bf3,3000,NA
0Xae6afad2361697cd22c06964d69c3152c72815d0,WETH_TAI,8087096053763499,83031,60,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xF915110898d9a455Ad2DA51BF49520b41655Ccea,3000,NA
0X10431a7ecf672abdc95fd9205e926f5d1d11c573,iJPEG_WETH,0,-5055,200,0x3415cf1a6459b62A34656e53E4048233775ac0AC,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,10000,NA
